"ITTER107","Territorio","TIPO_DATO_FOL","Tipo dato","SEXISTAT1","Sesso","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2004","2004",20.664027,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2004-Q2","T2-2004",21.089639,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2004-Q1","T1-2004",20.361498,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2004-Q4","T4-2004",22.135774,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2004-Q3","T3-2004",19.101695,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2005","2005",21.657426,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2005-Q1","T1-2005",22.979273,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2005-Q2","T2-2005",20.968454,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2005-Q4","T4-2005",22.33763,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2005-Q3","T3-2005",20.334993,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2006","2006",19.278014,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2006-Q2","T2-2006",18.128099,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2006-Q1","T1-2006",21.217992,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2006-Q4","T4-2006",20.357487,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2006-Q3","T3-2006",17.406395,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2007","2007",18.361905,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2007-Q1","T1-2007",18.973178,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2007-Q2","T2-2007",16.99763,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2007-Q4","T4-2007",20.874079,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2007-Q3","T3-2007",16.714555,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2008","2008",18.834026,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2008-Q2","T2-2008",17.453891,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2008-Q1","T1-2008",18.544872,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2008-Q4","T4-2008",21.577993,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2008-Q3","T3-2008",17.918874,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2009","2009",23.324961,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2009-Q1","T1-2009",23.270173,,
