DATAFLOW,FREQ,REF_AREA,SEX,AGE,EDU_LEV_HIGHEST,CITIZENSHIP,ECON_ACTIVITY_NACE_2002,ECON_ACTIVITY_NACE_2007,POSIZ_PROF,PROF_STATUS,OCCUPATION_2001,OCCUPATION_2011,FULL_PART_TIME,PERM_TEMP_EMPLOYEES,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_SEX,NOTE_AGE,NOTE_EDU_LEV_HIGHEST,NOTE_CITIZENSHIP,NOTE_ECON_ACTIVITY_NACE_2002,NOTE_ECON_ACTIVITY_NACE_2007,NOTE_POSIZ_PROF,NOTE_PROF_STATUS,NOTE_OCCUPATION_2001,NOTE_OCCUPATION_2011,NOTE_FULL_PART_TIME,NOTE_PERM_TEMP_EMPLOYEES,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:150_938_DF_DCCV_OCCUPATIT1_6(1.0),A,IT,9,Y15-24,99,TOTAL,0010,0010,1,99,99,99,9,1,2018,583.034,,,,,,,,,,,,,,,,,,,
IT1:150_938_DF_DCCV_OCCUPATIT1_6(1.0),A,IT,9,Y15-24,99,TOTAL,0010,0010,1,99,99,99,9,1,2019,603.212,,,,,,,,,,,,,,,,,,,
IT1:150_938_DF_DCCV_OCCUPATIT1_6(1.0),A,IT,9,Y15-24,99,TOTAL,0010,0010,1,99,99,99,9,1,2020,507.095,,,,,,,,,,,,,,,,,,,
IT1:150_938_DF_DCCV_OCCUPATIT1_6(1.0),A,IT,9,Y15-24,99,TOTAL,0010,0010,1,99,99,99,9,1,2021,553.169,,,,,,,,,,,,,,,,,,,
IT1:150_938_DF_DCCV_OCCUPATIT1_6(1.0),A,IT,9,Y15-24,99,TOTAL,0010,0010,1,99,99,99,9,1,2022,610.4,,,,,,,,,,,,,,,,,,,
IT1:150_938_DF_DCCV_OCCUPATIT1_6(1.0),A,IT,9,Y15-24,99,TOTAL,0010,0010,1,99,99,99,9,1,2023,602.576,,,,,,,,,,,,,,,,,,,
IT1:150_938_DF_DCCV_OCCUPATIT1_6(1.0),A,IT,9,Y15-24,99,TOTAL,0010,0010,1,99,99,99,9,2,2018,326.697,,,,,,,,,,,,,,,,,,,
IT1:150_938_DF_DCCV_OCCUPATIT1_6(1.0),A,IT,9,Y15-24,99,TOTAL,0010,0010,1,99,99,99,9,2,2019,350.062,,,,,,,,,,,,,,,,,,,
IT1:150_938_DF_DCCV_OCCUPATIT1_6(1.0),A,IT,9,Y15-24,99,TOTAL,0010,0010,1,99,99,99,9,2,2020,354.104,,,,,,,,,,,,,,,,,,,
IT1:150_938_DF_DCCV_OCCUPATIT1_6(1.0),A,IT,9,Y15-24,99,TOTAL,0010,0010,1,99,99,99,9,2,2021,343.668,,,,,,,,,,,,,,,,,,,
IT1:150_938_DF_DCCV_OCCUPATIT1_6(1.0),A,IT,9,Y15-24,99,TOTAL,0010,0010,1,99,99,99,9,2,2022,415.076,,,,,,,,,,,,,,,,,,,
IT1:150_938_DF_DCCV_OCCUPATIT1_6(1.0),A,IT,9,Y15-24,99,TOTAL,0010,0010,1,99,99,99,9,2,2023,449.103,,,,,,,,,,,,,,,,,,,
