DATAFLOW,LAST UPDATE,freq,age,wstatus,unit,sex,geo,TIME_PERIOD,OBS_VALUE,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Austria,2021,22.8,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Austria,2022,21.7,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Austria,2023,22.7,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Bosnia and Herzegovina,2021,24.8,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Bosnia and Herzegovina,2022,26.4,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Bosnia and Herzegovina,2023,23.9,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Belgium,2021,28.0,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Belgium,2022,26.3,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Belgium,2023,27.5,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Bulgaria,2021,6.1,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Bulgaria,2022,6.6,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Bulgaria,2023,4.6,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Switzerland,2021,35.4,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Switzerland,2022,35.5,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Switzerland,2023,34.3,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Cyprus,2021,21.8,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Cyprus,2022,18.8,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Cyprus,2023,22.5,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Czechia,2021,14.2,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Czechia,2022,13.8,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Czechia,2023,14.8,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Germany,2021,32.8,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Germany,2022,36.0,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Germany,2023,34.6,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Denmark,2021,25.5,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Denmark,2022,26.5,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Denmark,2023,24.6,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Euro area – 20 countries (from 2023),2021,36.1,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Euro area – 20 countries (from 2023),2022,36.0,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Euro area – 20 countries (from 2023),2023,34.3,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Estonia,2021,3.8,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Estonia,2022,8.2,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Estonia,2023,8.7,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Greece,2021,14.0,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Greece,2022,14.4,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Greece,2023,16.6,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Spain,2021,51.4,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Spain,2022,43.0,
