STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SEX,Sex,AGE,Age,LABOUR_FORCE_STATUS,Labour force status,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,SWE,Sweden,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2010,,6.297,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,SWE,Sweden,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2009,,5.983,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,GRC,Greece,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2018,,18.329,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,GRC,Greece,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2017,,20.355,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,GRC,Greece,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2016,,22.323,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,GRC,Greece,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2015,,23.568,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,GRC,Greece,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2014,,24.931,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,GRC,Greece,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2013,,25.539,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,GRC,Greece,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2012,,22.457,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,BEL,Belgium,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2014,,7.307,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,BEL,Belgium,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2013,,7.104,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,BEL,Belgium,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2012,,6.455,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,GRC,Greece,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2011,,16.138,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,GRC,Greece,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2010,,11.36,,A,Normal value,,,1,One
